time	val0	val1	val2	val3	val4	val5	val6	val7
728	356	0	3835	360	0	0	0	0	
729	355	0	3839	360	4	4	4	2	
730	353	2	3836	357	6	6	6	5	
731	353	8	3836	356	7	8	8	9	
733	354	10	3839	356	7	8	8	8	
734	353	13	3836	356	8	9	9	8	
735	354	14	3836	356	8	9	8	9	
736	353	27	3835	356	13	14	14	16	
737	353	30	3836	356	13	13	13	13	
738	353	21	3835	356	10	9	9	10	
739	353	13	3836	356	6	6	5	6	
740	353	6	3836	356	5	6	6	5	
741	353	2	3836	356	5	5	5	5	
742	354	1	3840	356	4	5	4	3	
744	353	0	3833	356	1	1	1	0	
745	353	0	3835	356	0	0	0	0	
746	353	0	3836	353	3	4	2	2	
747	356	0	3868	360	6	7	6	6	
748	353	7	3833	356	7	8	7	8	
749	353	10	3836	356	8	8	7	7	
750	353	11	3837	357	8	7	8	8	
751	353	13	3836	356	9	8	8	9	
752	354	27	3834	356	13	13	14	16	
753	353	29	3836	356	13	13	13	14	
755	353	22	3836	356	10	9	10	10	
756	353	15	3836	356	8	8	7	7	
757	353	6	3840	356	5	6	5	5	
758	353	4	3833	356	5	5	5	5	
759	353	0	3835	356	5	4	4	4	
760	353	0	3836	356	2	2	1	0	
761	353	0	3835	356	0	0	0	0	
762	354	0	3839	356	0	2	1	1	
763	354	0	3836	356	5	5	5	5	
764	353	1	3836	354	4	4	5	4	
766	355	9	3868	356	8	9	10	9	
767	354	12	3840	356	8	8	9	9	
768	353	13	3832	356	9	8	9	9	
